title,text,subject,date,label,text_length
dasd,asdas,asda,2025-05-07,Fake,5
dasd,asdas,asda,2025-05-07,Fake,5
sda,asd,dsa,2025-05-07,Fake,3
dsa,dsa,asd,2025-05-07,Fake,3
Capital intensity will reprogram Big Tech values,"Big Tech is attempting the mother of all pivots. Although startups from Twitter to Instagram are renowned for remaking their businesses on the fly, none compares to the scale of the transformations underway at Microsoft",technology,2025-05-07,Fake,219
Capital intensity will reprogram Big Tech values,"Big Tech is attempting the mother of all pivots. Although startups from Twitter to Instagram are renowned for remaking their businesses on the fly, none compares to the scale of the transformations underway at Microsoft
It is broadly accepted that capital-intensive businesses typically lead to lower returns. The telecommunications boom of the 1990s, and the massive spending that led to a supply glut, is a prime example of why investors tend to prefer companies with fewer factories, warehouses and other similar holdings, and a greater dependence on intangible ones, such as patents and brands, which are harder to copy and easier to parlay into more income. Simply put, an automaker needs to build more cars and plants to boost sales, whereas Mark Zuckerberg only had to create one Facebook.",technology,2025-05-07,Fake,796
Capital intensity will reprogram Big Tech values,"Big Tech is attempting the mother of all pivots. Although startups from Twitter to Instagram are renowned for remaking their businesses on the fly, none compares to the scale of the transformations underway at Microsoft
It is broadly accepted that capital-intensive businesses typically lead to lower returns. The telecommunications boom of the 1990s, and the massive spending that led to a supply glut, is a prime example of why investors tend to prefer companies with fewer factories, warehouses and other similar holdings, and a greater dependence on intangible ones, such as patents and brands, which are harder to copy and easier to parlay into more income. Simply put, an automaker needs to build more cars and plants to boost sales, whereas Mark Zuckerberg only had to create one Facebook.",technology,2025-05-07,Fake,796
Capital intensity will reprogram Big Tech values,"Big Tech is attempting the mother of all pivots. Although startups from Twitter to Instagram are renowned for remaking their businesses on the fly, none compares to the scale of the transformations underway at Microsoft
It is broadly accepted that capital-intensive businesses typically lead to lower returns. The telecommunications boom of the 1990s, and the massive spending that led to a supply glut, is a prime example of why investors tend to prefer companies with fewer factories, warehouses and other similar holdings, and a greater dependence on intangible ones, such as patents and brands, which are harder to copy and easier to parlay into more income. Simply put, an automaker needs to build more cars and plants to boost sales, whereas Mark Zuckerberg only had to create one Facebook.
The world’s biggest tech companies have broadened their focus, however, setting 11-figure capital expenditure budgets, largely for the chips and data centers used to develop artificial intelligence. For now, their core businesses are so profitable that CEOs including Alphabet’s (GOOGL.O), opens new tab Sundar Pichai can pull off these herculean investment feats while still rewarding shareholders. Google’s owner just unveiled, opens new tab a third $70 billion stock buyback program in as many years and boosted its annual dividend by 5%, all the while sticking to a $75 billion capital expenditure plan for 2025.
",technology,2025-05-07,Fake,1414
Capital intensity will reprogram Big Tech values,"NEW YORK, May 7 (Reuters Breakingviews) - Big Tech is attempting the mother of all pivots. Although startups from Twitter to Instagram are renowned for remaking their businesses on the fly, none compares to the scale of the transformations underway at Microsoft (MSFT.O), opens new tab and other software giants that historically steered clear of owning too much property or equipment. They are now pouring resources into physical assets, jeopardizing profitability and rich valuations in the process.
It is broadly accepted that capital-intensive businesses typically lead to lower returns. The telecommunications boom of the 1990s, and the massive spending that led to a supply glut, is a prime example of why investors tend to prefer companies with fewer factories, warehouses and other similar holdings, and a greater dependence on intangible ones, such as patents and brands, which are harder to copy and easier to parlay into more income. Simply put, an automaker needs to build more cars and plants to boost sales, whereas Mark Zuckerberg only had to create one Facebook.
The world’s biggest tech companies have broadened their focus, however, setting 11-figure capital expenditure budgets, largely for the chips and data centers used to develop artificial intelligence. For now, their core businesses are so profitable that CEOs including Alphabet’s (GOOGL.O), opens new tab Sundar Pichai can pull off these herculean investment feats while still rewarding shareholders. Google’s owner just unveiled, opens new tab a third $70 billion stock buyback program in as many years and boosted its annual dividend by 5%, all the while sticking to a $75 billion capital expenditure plan for 2025.
",technology,2025-05-07,Fake,1696
Capital intensity will reprogram Big Tech values,"NEW YORK, May 7 (Reuters Breakingviews) - Big Tech is attempting the mother of all pivots. Although startups from Twitter to Instagram are renowned for remaking their businesses on the fly, none compares to the scale of the transformations underway at Microsoft (MSFT.O), opens new tab and other software giants that historically steered clear of owning too much property or equipment. They are now pouring resources into physical assets, jeopardizing profitability and rich valuations in the process.
It is broadly accepted that capital-intensive businesses typically lead to lower returns. The telecommunications boom of the 1990s, and the massive spending that led to a supply glut, is a prime example of why investors tend to prefer companies with fewer factories, warehouses and other similar holdings, and a greater dependence on intangible ones, such as patents and brands, which are harder to copy and easier to parlay into more income. Simply put, an automaker needs to build more cars and plants to boost sales, whereas Mark Zuckerberg only had to create one Facebook.
The world’s biggest tech companies have broadened their focus, however, setting 11-figure capital expenditure budgets, largely for the chips and data centers used to develop artificial intelligence. For now, their core businesses are so profitable that CEOs including Alphabet’s (GOOGL.O), opens new tab Sundar Pichai can pull off these herculean investment feats while still rewarding shareholders. Google’s owner just unveiled, opens new tab a third $70 billion stock buyback program in as many years and boosted its annual dividend by 5%, all the while sticking to a $75 billion capital expenditure plan for 2025.
",technology,2025-05-07,Fake,1696
Capital intensity will reprogram Big Tech values,"NEW YORK, May 7 (Reuters Breakingviews) - Big Tech is attempting the mother of all pivots. Although startups from Twitter to Instagram are renowned for remaking their businesses on the fly, none compares to the scale of the transformations underway at Microsoft (MSFT.O), opens new tab and other software giants that historically steered clear of owning too much property or equipment. They are now pouring resources into physical assets, jeopardizing profitability and rich valuations in the process.
It is broadly accepted that capital-intensive businesses typically lead to lower returns. The telecommunications boom of the 1990s, and the massive spending that led to a supply glut, is a prime example of why investors tend to prefer companies with fewer factories, warehouses and other similar holdings, and a greater dependence on intangible ones, such as patents and brands, which are harder to copy and easier to parlay into more income. Simply put, an automaker needs to build more cars and plants to boost sales, whereas Mark Zuckerberg only had to create one Facebook.
The world’s biggest tech companies have broadened their focus, however, setting 11-figure capital expenditure budgets, largely for the chips and data centers used to develop artificial intelligence. For now, their core businesses are so profitable that CEOs including Alphabet’s (GOOGL.O), opens new tab Sundar Pichai can pull off these herculean investment feats while still rewarding shareholders. Google’s owner just unveiled, opens new tab a third $70 billion stock buyback program in as many years and boosted its annual dividend by 5%, all the while sticking to a $75 billion capital expenditure plan for 2025.
",technology,2025-05-07,Fake,1696
Capital intensity will reprogram Big Tech values,"NEW YORK, May 7 (Reuters Breakingviews) - Big Tech is attempting the mother of all pivots. Although startups from Twitter to Instagram are renowned for remaking their businesses on the fly, none compares to the scale of the transformations underway at Microsoft (MSFT.O), opens new tab and other software giants that historically steered clear of owning too much property or equipment. They are now pouring resources into physical assets, jeopardizing profitability and rich valuations in the process.
It is broadly accepted that capital-intensive businesses typically lead to lower returns. The telecommunications boom of the 1990s, and the massive spending that led to a supply glut, is a prime example of why investors tend to prefer companies with fewer factories, warehouses and other similar holdings, and a greater dependence on intangible ones, such as patents and brands, which are harder to copy and easier to parlay into more income. Simply put, an automaker needs to build more cars and plants to boost sales, whereas Mark Zuckerberg only had to create one Facebook.
The world’s biggest tech companies have broadened their focus, however, setting 11-figure capital expenditure budgets, largely for the chips and data centers used to develop artificial intelligence. For now, their core businesses are so profitable that CEOs including Alphabet’s (GOOGL.O), opens new tab Sundar Pichai can pull off these herculean investment feats while still rewarding shareholders. Google’s owner just unveiled, opens new tab a third $70 billion stock buyback program in as many years and boosted its annual dividend by 5%, all the while sticking to a $75 billion capital expenditure plan for 2025.
Others have joined the spending splurge, too. Alphabet, Amazon.com (AMZN.O), opens new tab, Meta Platforms (META.O), opens new tab and Microsoft are on track for about $320 billion in capex this year, or 13 times more than a decade ago. The quartet’s aggregate invested capital will be $1 trillion in 2025, which also represents a 13-fold increase over 10 years, according to Visible Alpha data. The figure sums up the cost of all the assets a company uses to run its business, or its total funding since inception. Past purchases of equipment and the like feature prominently.",technology,2025-05-07,Fake,2273
